slug,state,suffix,rating,nyt_rating,repProb
huffpost,dc,0,NA,1,1e-05
huffpost,de,0,NA,1,0
huffpost,fl,0,NA,2,0.11033
huffpost,ga,0,NA,6,0.89931
huffpost,hi,0,NA,1,1e-05
huffpost,ia,0,NA,6,0.87497
huffpost,id,0,NA,7,1
huffpost,il,0,NA,1,0
huffpost,in,0,NA,7,0.9984
huffpost,ks,0,NA,7,1
huffpost,ky,0,NA,7,1
huffpost,la,0,NA,7,1
huffpost,ma,0,NA,1,0
huffpost,md,0,NA,1,0
huffpost,me,0,NA,1,0.00188
huffpost,me-1,1,NA,1,0.00249999999999995
huffpost,me-2,2,NA,4,0.5
huffpost,mi,0,NA,1,0.01119
huffpost,mn,0,NA,1,0.00202
huffpost,mo,0,NA,7,0.99904
huffpost,ms,0,NA,7,0.99876
huffpost,mt,0,NA,7,1
huffpost,nc,0,NA,3,0.19533
huffpost,nd,0,NA,7,1
huffpost,ne-2,2,NA,4,0.5
huffpost,ne,0,NA,7,1
huffpost,ne-1,1,NA,7,0.9975
huffpost,ne-3,3,NA,7,0.9975
huffpost,nh,0,NA,2,0.07136
huffpost,nj,0,NA,1,0.00015
huffpost,nm,0,NA,1,0.00032
huffpost,nv,0,NA,2,0.12093
huffpost,ny,0,NA,1,0
huffpost,oh,0,NA,5,0.70333
huffpost,ok,0,NA,7,1
huffpost,or,0,NA,1,1e-05
huffpost,pa,0,NA,1,0.00294
huffpost,ri,0,NA,1,0
huffpost,sc,0,NA,7,0.95717
huffpost,sd,0,NA,7,1
huffpost,tn,0,NA,7,1
huffpost,tx,0,NA,7,0.99444
huffpost,us,0,NA,1,0.01767
huffpost,ut,0,NA,7,0.99975
huffpost,va,0,NA,1,0.00445
huffpost,vt,0,NA,1,0
huffpost,wa,0,NA,1,2e-05
huffpost,wi,0,NA,1,0.0086
huffpost,wv,0,NA,7,1
huffpost,wy,0,NA,7,1
nyt,ak,0,NA,5,0.84428
nyt,al,0,NA,7,0.99804
nyt,ar,0,NA,7,0.99837
nyt,az,0,NA,5,0.82892
nyt,ca,0,NA,1,5e-05
nyt,co,0,NA,2,0.12299
nyt,ct,0,NA,1,0.00427
nyt,dc,0,NA,1,0
nyt,de,0,NA,1,0.00591
nyt,fl,0,NA,3,0.3272
nyt,ga,0,NA,5,0.82295
nyt,hi,0,NA,1,4e-05
nyt,ia,0,NA,4,0.61678
nyt,id,0,NA,7,0.99978
nyt,il,0,NA,1,0.00172
nyt,in,0,NA,7,0.9807
nyt,ks,0,NA,7,0.99745
nyt,ky,0,NA,7,0.99979
nyt,la,0,NA,7,0.98908
nyt,ma,0,NA,1,0.00054
nyt,md,0,NA,1,3e-05
nyt,me-1,1,NA,1,0.00449
nyt,me,0,NA,2,0.09492
nyt,me-2,2,NA,4,0.6308
nyt,mi,0,NA,2,0.06655
nyt,mn,0,NA,2,0.06606
nyt,mo,0,NA,7,0.97853
nyt,ms,0,NA,5,0.84786
nyt,mt,0,NA,7,0.99166
nyt,nc,0,NA,4,0.36161
nyt,nd,0,NA,7,0.99733
nyt,ne-2,2,NA,5,0.78658
nyt,ne,0,NA,7,0.99933
nyt,ne-1,1,NA,7,0.99338
nyt,ne-3,3,NA,7,1
nyt,nh,0,NA,3,0.20397
nyt,nj,0,NA,1,0.00239
nyt,nm,0,NA,2,0.05712
nyt,nv,0,NA,3,0.31722
nyt,ny,0,NA,1,8e-05
nyt,oh,0,NA,4,0.52982
nyt,ok,0,NA,7,0.99988
nyt,or,0,NA,1,0.02408
nyt,pa,0,NA,2,0.11433
nyt,ri,0,NA,1,0.00097
nyt,sc,0,NA,6,0.89234
nyt,sd,0,NA,7,0.99955
nyt,tn,0,NA,7,0.99666
nyt,tx,0,NA,7,0.95768
nyt,us,0,NA,3,0.15723
nyt,ut,0,NA,5,0.72061
nyt,va,0,NA,1,0.04719
nyt,vt,0,NA,1,1e-04
nyt,wa,0,NA,1,0.00332
nyt,wi,0,NA,2,0.07327
nyt,wv,0,NA,7,0.99572
nyt,wy,0,NA,7,1
pec,ak,0,NA,7,0.96
pec,al,0,NA,7,1
pec,ar,0,NA,7,1
pec,az,0,NA,6,0.91
pec,ca,0,NA,1,0
pec,co,0,NA,1,0.04
